Representative	Member	RFAM	Organism	Location	Length
hsa_ires_00329.1|Homo sapiens (human)|chr9:101,371,405-101,384,969-	hsa_ires_00329.1|Homo sapiens (human)|chr9:101,371,405-101,384,969-		Homo sapiens (human)	chr9:101,371,405-101,384,969-	174
hsa_ires_00330.1|Homo sapiens (human)|chr17:44,847,979-44,848,152+	hsa_ires_00330.1|Homo sapiens (human)|chr17:44,847,979-44,848,152+		Homo sapiens (human)	chr17:44,847,979-44,848,152+	174
hsa_ires_00331.1|Homo sapiens (human)|chr12:111,686,079-111,692,709+	hsa_ires_00331.1|Homo sapiens (human)|chr12:111,686,079-111,692,709+		Homo sapiens (human)	chr12:111,686,079-111,692,709+	174
hsa_ires_00332.1|Homo sapiens (human)|chr14:75,176,473-75,176,646-	hsa_ires_00332.1|Homo sapiens (human)|chr14:75,176,473-75,176,646-		Homo sapiens (human)	chr14:75,176,473-75,176,646-	174
hsa_ires_00333.1|Homo sapiens (human)|chr16:67,963,512-67,966,878-	hsa_ires_00333.1|Homo sapiens (human)|chr16:67,963,512-67,966,878-		Homo sapiens (human)	chr16:67,963,512-67,966,878-	174
hsa_ires_00334.1|Homo sapiens (human)|chr5:151,771,915-151,786,623+	hsa_ires_00334.1|Homo sapiens (human)|chr5:151,771,915-151,786,623+		Homo sapiens (human)	chr5:151,771,915-151,786,623+	174
hsa_ires_00335.1|Homo sapiens (human)|chrX:108,091,669-108,126,082+	hsa_ires_00335.1|Homo sapiens (human)|chrX:108,091,669-108,126,082+		Homo sapiens (human)	chrX:108,091,669-108,126,082+	174
hsa_ires_00336.1|Homo sapiens (human)|chr6:44,247,035-44,248,629+	hsa_ires_00336.1|Homo sapiens (human)|chr6:44,247,035-44,248,629+		Homo sapiens (human)	chr6:44,247,035-44,248,629+	174
hsa_ires_00337.1|Homo sapiens (human)|chr11:99,325,381-99,556,214+	hsa_ires_00337.1|Homo sapiens (human)|chr11:99,325,381-99,556,214+		Homo sapiens (human)	chr11:99,325,381-99,556,214+	174
hsa_ires_00338.1|Homo sapiens (human)|chr2:219,245,470-219,246,016+	hsa_ires_00338.1|Homo sapiens (human)|chr2:219,245,470-219,246,016+		Homo sapiens (human)	chr2:219,245,470-219,246,016+	174
hsa_ires_00339.1|Homo sapiens (human)|chr1:161,176,061-161,177,486-	hsa_ires_00339.1|Homo sapiens (human)|chr1:161,176,061-161,177,486-		Homo sapiens (human)	chr1:161,176,061-161,177,486-	174
hsa_ires_00340.1|Homo sapiens (human)|chr15:34,102,358-34,102,531+	hsa_ires_00340.1|Homo sapiens (human)|chr15:34,102,358-34,102,531+		Homo sapiens (human)	chr15:34,102,358-34,102,531+	174
hsa_ires_00341.1|Homo sapiens (human)|chr2:15,558,622-15,561,348-	hsa_ires_00341.1|Homo sapiens (human)|chr2:15,558,622-15,561,348-		Homo sapiens (human)	chr2:15,558,622-15,561,348-	174
hsa_ires_00342.1|Homo sapiens (human)|chr3:42,794,202-42,804,535-	hsa_ires_00342.1|Homo sapiens (human)|chr3:42,794,202-42,804,535-		Homo sapiens (human)	chr3:42,794,202-42,804,535-	174
hsa_ires_00343.1|Homo sapiens (human)|chr7:131,110,127-131,142,912+	hsa_ires_00343.1|Homo sapiens (human)|chr7:131,110,127-131,142,912+		Homo sapiens (human)	chr7:131,110,127-131,142,912+	174
hsa_ires_00344.1|Homo sapiens (human)|chr2:10,369,154-10,419,757+	hsa_ires_00344.1|Homo sapiens (human)|chr2:10,369,154-10,419,757+		Homo sapiens (human)	chr2:10,369,154-10,419,757+	174
hsa_ires_00345.1|Homo sapiens (human)|chr11:40,116,293-40,241,597-	hsa_ires_00345.1|Homo sapiens (human)|chr11:40,116,293-40,241,597-		Homo sapiens (human)	chr11:40,116,293-40,241,597-	174
hsa_ires_00346.1|Homo sapiens (human)|chr20:9,069,111-9,307,814+	hsa_ires_00346.1|Homo sapiens (human)|chr20:9,069,111-9,307,814+		Homo sapiens (human)	chr20:9,069,111-9,307,814+	174
hsa_ires_00347.1|Homo sapiens (human)|chr3:64,023,836-64,024,009-	hsa_ires_00347.1|Homo sapiens (human)|chr3:64,023,836-64,024,009-		Homo sapiens (human)	chr3:64,023,836-64,024,009-	174
hsa_ires_00348.1|Homo sapiens (human)|chr12:54,632,358-54,634,879-	hsa_ires_00348.1|Homo sapiens (human)|chr12:54,632,358-54,634,879-		Homo sapiens (human)	chr12:54,632,358-54,634,879-	174
hsa_ires_00349.1|Homo sapiens (human)|chr11:33,161,318-33,161,491-	hsa_ires_00349.1|Homo sapiens (human)|chr11:33,161,318-33,161,491-		Homo sapiens (human)	chr11:33,161,318-33,161,491-	174
hsa_ires_00350.1|Homo sapiens (human)|chr6:106,512,168-106,512,341+	hsa_ires_00350.1|Homo sapiens (human)|chr6:106,512,168-106,512,341+		Homo sapiens (human)	chr6:106,512,168-106,512,341+	174
hsa_ires_00351.1|Homo sapiens (human)|chr21:33,539,316-33,542,792-	hsa_ires_00351.1|Homo sapiens (human)|chr21:33,539,316-33,542,792-		Homo sapiens (human)	chr21:33,539,316-33,542,792-	174
hsa_ires_00352.1|Homo sapiens (human)|chr8:27,471,059-27,478,861-	hsa_ires_00352.1|Homo sapiens (human)|chr8:27,471,059-27,478,861-		Homo sapiens (human)	chr8:27,471,059-27,478,861-	174
hsa_ires_00353.1|Homo sapiens (human)|chr6:132,503,531-132,513,122-	hsa_ires_00353.1|Homo sapiens (human)|chr6:132,503,531-132,513,122-		Homo sapiens (human)	chr6:132,503,531-132,513,122-	174
hsa_ires_00354.1|Homo sapiens (human)|chr1:183,590,330-183,590,503-	hsa_ires_00354.1|Homo sapiens (human)|chr1:183,590,330-183,590,503-		Homo sapiens (human)	chr1:183,590,330-183,590,503-	174
hsa_ires_00355.1|Homo sapiens (human)|chr12:50,924,865-50,925,038+	hsa_ires_00355.1|Homo sapiens (human)|chr12:50,924,865-50,925,038+		Homo sapiens (human)	chr12:50,924,865-50,925,038+	174
hsa_ires_00356.1|Homo sapiens (human)|chr3:42,149,362-42,149,535+	hsa_ires_00356.1|Homo sapiens (human)|chr3:42,149,362-42,149,535+		Homo sapiens (human)	chr3:42,149,362-42,149,535+	174
hsa_ires_00357.1|Homo sapiens (human)|chr10:75,104,077-75,109,161-	hsa_ires_00357.1|Homo sapiens (human)|chr10:75,104,077-75,109,161-		Homo sapiens (human)	chr10:75,104,077-75,109,161-	174
hsa_ires_00358.1|Homo sapiens (human)|chr12:81,078,030-81,078,203+	hsa_ires_00358.1|Homo sapiens (human)|chr12:81,078,030-81,078,203+		Homo sapiens (human)	chr12:81,078,030-81,078,203+	174
hsa_ires_00359.1|Homo sapiens (human)|chr1:154,970,062-154,974,283-	hsa_ires_00359.1|Homo sapiens (human)|chr1:154,970,062-154,974,283-		Homo sapiens (human)	chr1:154,970,062-154,974,283-	174
hsa_ires_00360.1|Homo sapiens (human)|chr2:181,457,481-181,457,654+	hsa_ires_00360.1|Homo sapiens (human)|chr2:181,457,481-181,457,654+		Homo sapiens (human)	chr2:181,457,481-181,457,654+	174
hsa_ires_00361.1|Homo sapiens (human)|chr1:179,592,442-179,592,615+	hsa_ires_00361.1|Homo sapiens (human)|chr1:179,592,442-179,592,615+		Homo sapiens (human)	chr1:179,592,442-179,592,615+	174
hsa_ires_00362.1|Homo sapiens (human)|chr8:17,697,378-17,697,551-	hsa_ires_00362.1|Homo sapiens (human)|chr8:17,697,378-17,697,551-		Homo sapiens (human)	chr8:17,697,378-17,697,551-	174
hsa_ires_00363.1|Homo sapiens (human)|chr17:83,048,686-83,051,810-	hsa_ires_00363.1|Homo sapiens (human)|chr17:83,048,686-83,051,810-		Homo sapiens (human)	chr17:83,048,686-83,051,810-	174
hsa_ires_00364.1|Homo sapiens (human)|chr1:61,082,618-61,082,791+	hsa_ires_00364.1|Homo sapiens (human)|chr1:61,082,618-61,082,791+		Homo sapiens (human)	chr1:61,082,618-61,082,791+	174
hsa_ires_00365.1|Homo sapiens (human)|chr8:407,051-431,357+	hsa_ires_00365.1|Homo sapiens (human)|chr8:407,051-431,357+		Homo sapiens (human)	chr8:407,051-431,357+	174
hsa_ires_00366.1|Homo sapiens (human)|chr2:206,149,908-206,159,431-	hsa_ires_00366.1|Homo sapiens (human)|chr2:206,149,908-206,159,431-		Homo sapiens (human)	chr2:206,149,908-206,159,431-	174
hsa_ires_00367.1|Homo sapiens (human)|chr2:73,892,966-73,901,363+	hsa_ires_00367.1|Homo sapiens (human)|chr2:73,892,966-73,901,363+		Homo sapiens (human)	chr2:73,892,966-73,901,363+	174
hsa_ires_00368.1|Homo sapiens (human)|chr3:52,495,340-52,501,187+	hsa_ires_00368.1|Homo sapiens (human)|chr3:52,495,340-52,501,187+		Homo sapiens (human)	chr3:52,495,340-52,501,187+	174
hsa_ires_00369.1|Homo sapiens (human)|chr12:6,555,910-6,556,083-	hsa_ires_00369.1|Homo sapiens (human)|chr12:6,555,910-6,556,083-		Homo sapiens (human)	chr12:6,555,910-6,556,083-	174
hsa_ires_00370.1|Homo sapiens (human)|chrX:33,339,266-33,339,439-	hsa_ires_00370.1|Homo sapiens (human)|chrX:33,339,266-33,339,439-		Homo sapiens (human)	chrX:33,339,266-33,339,439-	174
hsa_ires_00371.1|Homo sapiens (human)|chr5:150,447,734-150,449,663-	hsa_ires_00371.1|Homo sapiens (human)|chr5:150,447,734-150,449,663-		Homo sapiens (human)	chr5:150,447,734-150,449,663-	174
hsa_ires_00372.1|Homo sapiens (human)|chr5:172,959,436-172,960,005+	hsa_ires_00372.1|Homo sapiens (human)|chr5:172,959,436-172,960,005+		Homo sapiens (human)	chr5:172,959,436-172,960,005+	174
hsa_ires_00373.1|Homo sapiens (human)|chr6:30,571,393-30,577,414+	hsa_ires_00373.1|Homo sapiens (human)|chr6:30,571,393-30,577,414+		Homo sapiens (human)	chr6:30,571,393-30,577,414+	174
hsa_ires_00374.1|Homo sapiens (human)|chrX:35,798,447-35,802,196+	hsa_ires_00374.1|Homo sapiens (human)|chrX:35,798,447-35,802,196+		Homo sapiens (human)	chrX:35,798,447-35,802,196+	174
hsa_ires_00375.1|Homo sapiens (human)|chr12:109,098,153-109,098,326+	hsa_ires_00375.1|Homo sapiens (human)|chr12:109,098,153-109,098,326+		Homo sapiens (human)	chr12:109,098,153-109,098,326+	174
hsa_ires_00376.1|Homo sapiens (human)|chr10:114,163,269-114,174,127-	hsa_ires_00376.1|Homo sapiens (human)|chr10:114,163,269-114,174,127-		Homo sapiens (human)	chr10:114,163,269-114,174,127-	174
hsa_ires_00377.1|Homo sapiens (human)|chr6:89,637,793-89,638,755-	hsa_ires_00377.1|Homo sapiens (human)|chr6:89,637,793-89,638,755-		Homo sapiens (human)	chr6:89,637,793-89,638,755-	174
hsa_ires_00378.1|Homo sapiens (human)|chr9:8,636,838-8,733,946-	hsa_ires_00378.1|Homo sapiens (human)|chr9:8,636,838-8,733,946-		Homo sapiens (human)	chr9:8,636,838-8,733,946-	174
hsa_ires_00379.1|Homo sapiens (human)|chrX:23,783,178-23,783,351+	hsa_ires_00379.1|Homo sapiens (human)|chrX:23,783,178-23,783,351+		Homo sapiens (human)	chrX:23,783,178-23,783,351+	174
hsa_ires_00380.1|Homo sapiens (human)|chr12:209,987-213,953-	hsa_ires_00380.1|Homo sapiens (human)|chr12:209,987-213,953-		Homo sapiens (human)	chr12:209,987-213,953-	174
hsa_ires_00381.1|Homo sapiens (human)|chrX:49,059,005-49,062,041+	hsa_ires_00381.1|Homo sapiens (human)|chrX:49,059,005-49,062,041+		Homo sapiens (human)	chrX:49,059,005-49,062,041+	174
hsa_ires_00382.1|Homo sapiens (human)|chrY:1,282,413-1,282,703;chrX:1,282,413-1,282,703+;+	hsa_ires_00382.1|Homo sapiens (human)|chrY:1,282,413-1,282,703;chrX:1,282,413-1,282,703+;+		Homo sapiens (human)	chrY:1,282,413-1,282,703;chrX:1,282,413-1,282,703+;+	174
hsa_ires_00383.1|Homo sapiens (human)|chr1:45,457,786-45,490,939-	hsa_ires_00383.1|Homo sapiens (human)|chr1:45,457,786-45,490,939-		Homo sapiens (human)	chr1:45,457,786-45,490,939-	174
hsa_ires_00384.1|Homo sapiens (human)|chr1:156,246,732-156,247,982-	hsa_ires_00384.1|Homo sapiens (human)|chr1:156,246,732-156,247,982-		Homo sapiens (human)	chr1:156,246,732-156,247,982-	174
hsa_ires_00385.1|Homo sapiens (human)|chr2:84,516,455-84,517,863+	hsa_ires_00385.1|Homo sapiens (human)|chr2:84,516,455-84,517,863+		Homo sapiens (human)	chr2:84,516,455-84,517,863+	174
hsa_ires_00386.1|Homo sapiens (human)|chrX:70,259,625-70,259,798-	hsa_ires_00386.1|Homo sapiens (human)|chrX:70,259,625-70,259,798-		Homo sapiens (human)	chrX:70,259,625-70,259,798-	174
hsa_ires_00387.1|Homo sapiens (human)|chr17:57,257,013-57,257,513+	hsa_ires_00387.1|Homo sapiens (human)|chr17:57,257,013-57,257,513+		Homo sapiens (human)	chr17:57,257,013-57,257,513+	174
hsa_ires_00388.1|Homo sapiens (human)|chr9:112,297,835-112,333,561-	hsa_ires_00388.1|Homo sapiens (human)|chr9:112,297,835-112,333,561-		Homo sapiens (human)	chr9:112,297,835-112,333,561-	174
hsa_ires_00389.1|Homo sapiens (human)|chrX:102,653,740-102,653,913+	hsa_ires_00389.1|Homo sapiens (human)|chrX:102,653,740-102,653,913+		Homo sapiens (human)	chrX:102,653,740-102,653,913+	174
hsa_ires_00390.1|Homo sapiens (human)|chr5:138,331,181-138,331,730-	hsa_ires_00390.1|Homo sapiens (human)|chr5:138,331,181-138,331,730-		Homo sapiens (human)	chr5:138,331,181-138,331,730-	174
hsa_ires_00391.1|Homo sapiens (human)|chrX:49,078,094-49,079,905-	hsa_ires_00391.1|Homo sapiens (human)|chrX:49,078,094-49,079,905-		Homo sapiens (human)	chrX:49,078,094-49,079,905-	174
hsa_ires_00392.1|Homo sapiens (human)|chr16:70,523,381-70,523,554-	hsa_ires_00392.1|Homo sapiens (human)|chr16:70,523,381-70,523,554-		Homo sapiens (human)	chr16:70,523,381-70,523,554-	174
hsa_ires_00393.1|Homo sapiens (human)|chr8:144,851,296-144,853,066-	hsa_ires_00393.1|Homo sapiens (human)|chr8:144,851,296-144,853,066-		Homo sapiens (human)	chr8:144,851,296-144,853,066-	174
hsa_ires_00394.1|Homo sapiens (human)|chr1:40,247,901-40,248,074+	hsa_ires_00394.1|Homo sapiens (human)|chr1:40,247,901-40,248,074+		Homo sapiens (human)	chr1:40,247,901-40,248,074+	174
hsa_ires_00395.1|Homo sapiens (human)|chr12:26,936,804-26,937,958-	hsa_ires_00395.1|Homo sapiens (human)|chr12:26,936,804-26,937,958-		Homo sapiens (human)	chr12:26,936,804-26,937,958-	174
hsa_ires_00396.1|Homo sapiens (human)|chr7:21,916,817-21,945,822-	hsa_ires_00396.1|Homo sapiens (human)|chr7:21,916,817-21,945,822-		Homo sapiens (human)	chr7:21,916,817-21,945,822-	174
hsa_ires_00397.1|Homo sapiens (human)|chr2:53,765,573-53,786,981-	hsa_ires_00397.1|Homo sapiens (human)|chr2:53,765,573-53,786,981-		Homo sapiens (human)	chr2:53,765,573-53,786,981-	174
hsa_ires_00398.1|Homo sapiens (human)|chr5:179,806,574-179,823,004+	hsa_ires_00398.1|Homo sapiens (human)|chr5:179,806,574-179,823,004+		Homo sapiens (human)	chr5:179,806,574-179,823,004+	174
hsa_ires_00399.1|Homo sapiens (human)|chr5:7,869,104-7,870,831+	hsa_ires_00399.1|Homo sapiens (human)|chr5:7,869,104-7,870,831+		Homo sapiens (human)	chr5:7,869,104-7,870,831+	174
hsa_ires_00400.1|Homo sapiens (human)|chr12:9,733,126-9,733,299-	hsa_ires_00400.1|Homo sapiens (human)|chr12:9,733,126-9,733,299-		Homo sapiens (human)	chr12:9,733,126-9,733,299-	174
hsa_ires_00401.1|Homo sapiens (human)|chr2:127,874,235-127,884,783-	hsa_ires_00401.1|Homo sapiens (human)|chr2:127,874,235-127,884,783-		Homo sapiens (human)	chr2:127,874,235-127,884,783-	174
hsa_ires_00402.1|Homo sapiens (human)|chr7:42,926,661-42,932,206-	hsa_ires_00402.1|Homo sapiens (human)|chr7:42,926,661-42,932,206-		Homo sapiens (human)	chr7:42,926,661-42,932,206-	174
hsa_ires_00403.1|Homo sapiens (human)|chr12:16,600,861-16,608,034-	hsa_ires_00403.1|Homo sapiens (human)|chr12:16,600,861-16,608,034-		Homo sapiens (human)	chr12:16,600,861-16,608,034-	174
hsa_ires_00404.1|Homo sapiens (human)|chr11:6,403,767-6,405,210-	hsa_ires_00404.1|Homo sapiens (human)|chr11:6,403,767-6,405,210-		Homo sapiens (human)	chr11:6,403,767-6,405,210-	174
hsa_ires_00405.1|Homo sapiens (human)|chr17:17,522,382-17,577,465-	hsa_ires_00405.1|Homo sapiens (human)|chr17:17,522,382-17,577,465-		Homo sapiens (human)	chr17:17,522,382-17,577,465-	174
hsa_ires_00406.1|Homo sapiens (human)|chr1:212,565,334-212,615,041+	hsa_ires_00406.1|Homo sapiens (human)|chr1:212,565,334-212,615,041+		Homo sapiens (human)	chr1:212,565,334-212,615,041+	174
hsa_ires_00407.1|Homo sapiens (human)|chr17:42,458,844-42,460,901+	hsa_ires_00407.1|Homo sapiens (human)|chr17:42,458,844-42,460,901+		Homo sapiens (human)	chr17:42,458,844-42,460,901+	174
hsa_ires_00408.1|Homo sapiens (human)|chr19:8,364,148-8,364,321+	hsa_ires_00408.1|Homo sapiens (human)|chr19:8,364,148-8,364,321+		Homo sapiens (human)	chr19:8,364,148-8,364,321+	174
hsa_ires_00409.1|Homo sapiens (human)|chr1:153,668,552-153,670,963-	hsa_ires_00409.1|Homo sapiens (human)|chr1:153,668,552-153,670,963-		Homo sapiens (human)	chr1:153,668,552-153,670,963-	174
hsa_ires_00410.1|Homo sapiens (human)|chr3:187,702,129-187,702,302-	hsa_ires_00410.1|Homo sapiens (human)|chr3:187,702,129-187,702,302-		Homo sapiens (human)	chr3:187,702,129-187,702,302-	174
hsa_ires_00411.1|Homo sapiens (human)|chr3:123,620,295-123,620,468-	hsa_ires_00411.1|Homo sapiens (human)|chr3:123,620,295-123,620,468-		Homo sapiens (human)	chr3:123,620,295-123,620,468-	174
hsa_ires_00412.1|Homo sapiens (human)|chr16:30,354,682-30,354,855-	hsa_ires_00412.1|Homo sapiens (human)|chr16:30,354,682-30,354,855-		Homo sapiens (human)	chr16:30,354,682-30,354,855-	174
hsa_ires_00413.1|Homo sapiens (human)|chr22:38,782,732-38,794,102-	hsa_ires_00413.1|Homo sapiens (human)|chr22:38,782,732-38,794,102-		Homo sapiens (human)	chr22:38,782,732-38,794,102-	174
hsa_ires_00414.1|Homo sapiens (human)|chr19:21,819,221-21,836,208-	hsa_ires_00414.1|Homo sapiens (human)|chr19:21,819,221-21,836,208-		Homo sapiens (human)	chr19:21,819,221-21,836,208-	174
hsa_ires_00415.1|Homo sapiens (human)|chr3:25,428,558-25,428,731+	hsa_ires_00415.1|Homo sapiens (human)|chr3:25,428,558-25,428,731+		Homo sapiens (human)	chr3:25,428,558-25,428,731+	174
hsa_ires_00416.1|Homo sapiens (human)|chr2:74,502,860-74,503,033-	hsa_ires_00416.1|Homo sapiens (human)|chr2:74,502,860-74,503,033-		Homo sapiens (human)	chr2:74,502,860-74,503,033-	174
hsa_ires_00417.1|Homo sapiens (human)|chr20:31,440,608-31,450,053+	hsa_ires_00417.1|Homo sapiens (human)|chr20:31,440,608-31,450,053+		Homo sapiens (human)	chr20:31,440,608-31,450,053+	174
hsa_ires_00418.1|Homo sapiens (human)|chr2:183,078,760-183,078,933+	hsa_ires_00418.1|Homo sapiens (human)|chr2:183,078,760-183,078,933+		Homo sapiens (human)	chr2:183,078,760-183,078,933+	174
hsa_ires_00419.1|Homo sapiens (human)|chr18:12,308,248-12,308,758+	hsa_ires_00419.1|Homo sapiens (human)|chr18:12,308,248-12,308,758+		Homo sapiens (human)	chr18:12,308,248-12,308,758+	174
hsa_ires_00420.1|Homo sapiens (human)|chr2:201,132,965-201,135,975+	hsa_ires_00420.1|Homo sapiens (human)|chr2:201,132,965-201,135,975+		Homo sapiens (human)	chr2:201,132,965-201,135,975+	174
hsa_ires_00421.1|Homo sapiens (human)|chr17:51,153,536-51,155,697+	hsa_ires_00421.1|Homo sapiens (human)|chr17:51,153,536-51,155,697+		Homo sapiens (human)	chr17:51,153,536-51,155,697+	174
hsa_ires_00422.1|Homo sapiens (human)|chrX:101,042,290-101,051,678-	hsa_ires_00422.1|Homo sapiens (human)|chrX:101,042,290-101,051,678-		Homo sapiens (human)	chrX:101,042,290-101,051,678-	174
hsa_ires_00423.1|Homo sapiens (human)|chr2:169,584,386-169,604,041+	hsa_ires_00423.1|Homo sapiens (human)|chr2:169,584,386-169,604,041+		Homo sapiens (human)	chr2:169,584,386-169,604,041+	174
hsa_ires_00424.1|Homo sapiens (human)|chr14:77,708,071-77,710,873+	hsa_ires_00424.1|Homo sapiens (human)|chr14:77,708,071-77,710,873+		Homo sapiens (human)	chr14:77,708,071-77,710,873+	174
hsa_ires_00425.1|Homo sapiens (human)|chr1:6,385,650-6,385,823-	hsa_ires_00425.1|Homo sapiens (human)|chr1:6,385,650-6,385,823-		Homo sapiens (human)	chr1:6,385,650-6,385,823-	174
hsa_ires_00426.1|Homo sapiens (human)|NA	hsa_ires_00426.1|Homo sapiens (human)|NA		Homo sapiens (human)	Homo sapiens human	174
hsa_ires_00427.1|Homo sapiens (human)|chr17:7,252,241-7,252,502+	hsa_ires_00427.1|Homo sapiens (human)|chr17:7,252,241-7,252,502+		Homo sapiens (human)	chr17:7,252,241-7,252,502+	174
hsa_ires_00428.1|Homo sapiens (human)|chr13:60,397,293-60,439,748+	hsa_ires_00428.1|Homo sapiens (human)|chr13:60,397,293-60,439,748+		Homo sapiens (human)	chr13:60,397,293-60,439,748+	174
hsa_ires_00429.1|Homo sapiens (human)|chr14:20,802,069-20,802,397-	hsa_ires_00429.1|Homo sapiens (human)|chr14:20,802,069-20,802,397-		Homo sapiens (human)	chr14:20,802,069-20,802,397-	174
hsa_ires_00430.1|Homo sapiens (human)|chr6:34,238,828-34,240,780+	hsa_ires_00430.1|Homo sapiens (human)|chr6:34,238,828-34,240,780+		Homo sapiens (human)	chr6:34,238,828-34,240,780+	174
hsa_ires_00431.1|Homo sapiens (human)|chr14:54,441,257-54,441,430-	hsa_ires_00431.1|Homo sapiens (human)|chr14:54,441,257-54,441,430-		Homo sapiens (human)	chr14:54,441,257-54,441,430-	174
hsa_ires_00432.1|Homo sapiens (human)|chr16:49,730,868-49,857,750-	hsa_ires_00432.1|Homo sapiens (human)|chr16:49,730,868-49,857,750-		Homo sapiens (human)	chr16:49,730,868-49,857,750-	174
hsa_ires_00433.1|Homo sapiens (human)|chr19:58,554,187-58,554,988-	hsa_ires_00433.1|Homo sapiens (human)|chr19:58,554,187-58,554,988-		Homo sapiens (human)	chr19:58,554,187-58,554,988-	174
hsa_ires_00434.1|Homo sapiens (human)|chr1:26,900,298-26,900,471-	hsa_ires_00434.1|Homo sapiens (human)|chr1:26,900,298-26,900,471-		Homo sapiens (human)	chr1:26,900,298-26,900,471-	174
hsa_ires_00435.1|Homo sapiens (human)|chr21:30,430,276-30,430,449+	hsa_ires_00435.1|Homo sapiens (human)|chr21:30,430,276-30,430,449+		Homo sapiens (human)	chr21:30,430,276-30,430,449+	174
hsa_ires_00436.1|Homo sapiens (human)|chr3:172,752,321-172,754,530+	hsa_ires_00436.1|Homo sapiens (human)|chr3:172,752,321-172,754,530+		Homo sapiens (human)	chr3:172,752,321-172,754,530+	174
hsa_ires_00437.1|Homo sapiens (human)|chr1:155,679,501-155,679,674-	hsa_ires_00437.1|Homo sapiens (human)|chr1:155,679,501-155,679,674-		Homo sapiens (human)	chr1:155,679,501-155,679,674-	174
hsa_ires_00438.1|Homo sapiens (human)|chr8:109,322,419-109,329,933-	hsa_ires_00438.1|Homo sapiens (human)|chr8:109,322,419-109,329,933-		Homo sapiens (human)	chr8:109,322,419-109,329,933-	174
hsa_ires_00439.1|Homo sapiens (human)|chr3:53,347,454-53,347,627-	hsa_ires_00439.1|Homo sapiens (human)|chr3:53,347,454-53,347,627-		Homo sapiens (human)	chr3:53,347,454-53,347,627-	174
hsa_ires_00440.1|Homo sapiens (human)|chr7:27,102,501-27,102,674-	hsa_ires_00440.1|Homo sapiens (human)|chr7:27,102,501-27,102,674-		Homo sapiens (human)	chr7:27,102,501-27,102,674-	174
hsa_ires_00441.1|Homo sapiens (human)|chr2:171,687,463-171,690,155+	hsa_ires_00441.1|Homo sapiens (human)|chr2:171,687,463-171,690,155+		Homo sapiens (human)	chr2:171,687,463-171,690,155+	174
hsa_ires_00442.1|Homo sapiens (human)|chr16:21,161,009-21,161,182+	hsa_ires_00442.1|Homo sapiens (human)|chr16:21,161,009-21,161,182+		Homo sapiens (human)	chr16:21,161,009-21,161,182+	174
hsa_ires_00443.1|Homo sapiens (human)|chr6:144,291,737-144,403,125+	hsa_ires_00443.1|Homo sapiens (human)|chr6:144,291,737-144,403,125+		Homo sapiens (human)	chr6:144,291,737-144,403,125+	174
hsa_ires_00444.1|Homo sapiens (human)|chr7:44,122,054-44,122,227-	hsa_ires_00444.1|Homo sapiens (human)|chr7:44,122,054-44,122,227-		Homo sapiens (human)	chr7:44,122,054-44,122,227-	174
hsa_ires_00445.1|Homo sapiens (human)|chr17:42,851,184-42,851,357+	hsa_ires_00445.1|Homo sapiens (human)|chr17:42,851,184-42,851,357+		Homo sapiens (human)	chr17:42,851,184-42,851,357+	174
hsa_ires_00446.1|Homo sapiens (human)|chr12:102,958,071-102,958,244+	hsa_ires_00446.1|Homo sapiens (human)|chr12:102,958,071-102,958,244+		Homo sapiens (human)	chr12:102,958,071-102,958,244+	174
hsa_ires_00447.1|Homo sapiens (human)|chr20:64,076,887-64,079,399-	hsa_ires_00447.1|Homo sapiens (human)|chr20:64,076,887-64,079,399-		Homo sapiens (human)	chr20:64,076,887-64,079,399-	174
hsa_ires_00448.1|Homo sapiens (human)|chr6:24,774,931-24,777,289+	hsa_ires_00448.1|Homo sapiens (human)|chr6:24,774,931-24,777,289+		Homo sapiens (human)	chr6:24,774,931-24,777,289+	174
hsa_ires_00449.1|Homo sapiens (human)|chr1:32,765,634-32,765,807+	hsa_ires_00449.1|Homo sapiens (human)|chr1:32,765,634-32,765,807+		Homo sapiens (human)	chr1:32,765,634-32,765,807+	174
hsa_ires_00450.1|Homo sapiens (human)|chr21:42,863,455-42,873,634-	hsa_ires_00450.1|Homo sapiens (human)|chr21:42,863,455-42,873,634-		Homo sapiens (human)	chr21:42,863,455-42,873,634-	174
hsa_ires_00451.1|Homo sapiens (human)|chr6:24,875,792-24,877,098-	hsa_ires_00451.1|Homo sapiens (human)|chr6:24,875,792-24,877,098-		Homo sapiens (human)	chr6:24,875,792-24,877,098-	174
hsa_ires_00452.1|Homo sapiens (human)|chr20:50,096,717-50,109,042-	hsa_ires_00452.1|Homo sapiens (human)|chr20:50,096,717-50,109,042-		Homo sapiens (human)	chr20:50,096,717-50,109,042-	174
hsa_ires_00453.1|Homo sapiens (human)|chr3:51,961,241-51,962,050-	hsa_ires_00453.1|Homo sapiens (human)|chr3:51,961,241-51,962,050-		Homo sapiens (human)	chr3:51,961,241-51,962,050-	174
hsa_ires_00454.1|Homo sapiens (human)|chr17:77,093,309-77,143,596+	hsa_ires_00454.1|Homo sapiens (human)|chr17:77,093,309-77,143,596+		Homo sapiens (human)	chr17:77,093,309-77,143,596+	174
hsa_ires_00455.1|Homo sapiens (human)|chr5:52,800,221-52,800,394+	hsa_ires_00455.1|Homo sapiens (human)|chr5:52,800,221-52,800,394+		Homo sapiens (human)	chr5:52,800,221-52,800,394+	174
